iso_code,country,year,coal_prod_change_pct,coal_prod_change_twh,gas_prod_change_pct,gas_prod_change_twh,oil_prod_change_pct,oil_prod_change_twh,energy_cons_change_pct,energy_cons_change_twh,biofuel_share_elec,biofuel_elec_per_capita,biofuel_cons_change_pct,biofuel_share_energy,biofuel_cons_change_twh,biofuel_consumption,biofuel_cons_per_capita,carbon_intensity_elec,coal_share_elec,coal_cons_change_pct,coal_share_energy,coal_cons_change_twh,coal_consumption,coal_elec_per_capita,coal_cons_per_capita,coal_production,coal_prod_per_capita,electricity_demand,biofuel_electricity,coal_electricity,fossil_electricity,gas_electricity,hydro_electricity,nuclear_electricity,oil_electricity,other_renewable_exc_biofuel_electricity,other_renewable_electricity,renewables_electricity,solar_electricity,wind_electricity,electricity_generation,greenhouse_gas_emissions,energy_per_gdp,energy_per_capita,fossil_cons_change_pct,fossil_share_energy,fossil_cons_change_twh,fossil_fuel_consumption,fossil_energy_per_capita,fossil_cons_per_capita,fossil_share_elec,gdp,gas_share_elec,gas_cons_change_pct,gas_share_energy,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_energy_per_capita,gas_production,gas_prod_per_capita,hydro_share_elec,hydro_cons_change_pct,hydro_share_energy,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_energy_per_capita,low_carbon_share_elec,low_carbon_electricity,low_carbon_elec_per_capita,low_carbon_cons_change_pct,low_carbon_share_energy,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_energy_per_capita,net_elec_imports_share_demand,net_elec_imports,nuclear_share_elec,nuclear_cons_change_pct,nuclear_share_energy,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_energy_per_capita,oil_share_elec,oil_cons_change_pct,oil_share_energy,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_energy_per_capita,oil_production,oil_prod_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_elec_per_capita,other_renewables_cons_change_pct,other_renewables_share_energy,other_renewables_cons_change_twh,other_renewable_consumption,other_renewables_share_elec_exc_biofuel,other_renewables_share_elec,other_renewables_energy_per_capita,per_capita_electricity,population,primary_energy_consumption,renewables_elec_per_capita,renewables_share_elec,renewables_cons_change_pct,renewables_share_energy,renewables_cons_change_twh,renewables_consumption,renewables_energy_per_capita,solar_share_elec,solar_cons_change_pct,solar_share_energy,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_energy_per_capita,wind_share_elec,wind_cons_change_pct,wind_share_energy,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_energy_per_capita
IND,India,1900,,,,,,,,,,,,,,,,,,,,,,,,39.547,135.446,,,,,,,,,,,,,,,,,,,,,,,,,271697500000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.675,5.736,,,,,,,,,,,291979136.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1901,8.446,3.34,,0.0,32.639,0.547,,,,,,,,,,,,,,,,,,42.888,146.187,,,,,,,,,,,,,,,,,,,,,,,,,277327800000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.221,7.572,,,,,,,,,,,293373897.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1902,11.897,5.102,,0.0,13.089,0.291,,,,,,,,,,,,,,,,,,47.99,162.663,,,,,,,,,,,,,,,,,,,,,,,,,300672000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.512,8.515,,,,,,,,,,,295026710.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1903,0.172,0.083,,0.0,55.093,1.384,,,,,,,,,,,,,,,,,,48.073,161.894,,,,,,,,,,,,,,,,,,,,,,,,,304764400000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.896,13.121,,,,,,,,,,,296939909.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1904,10.482,5.039,,0.0,34.627,1.349,,,,,,,,,,,,,,,,,,53.112,177.711,,,,,,,,,,,,,,,,,,,,,,,,,306075000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.245,17.55,,,,,,,,,,,298865451.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1905,2.456,1.304,,0.0,22.173,1.163,,,,,,,,,,,,,,,,,,54.416,180.902,,,,,,,,,,,,,,,,,,,,,,,,,300632500000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.408,21.303,,,,,,,,,,,300803415.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1906,16.217,8.824,,0.0,-2.722,-0.174,,,,,,,,,,,,,,,,,,63.24,208.883,,,,,,,,,,,,,,,,,,,,,,,,,308969700000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.234,20.59,,,,,,,,,,,302753881.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1907,13.944,8.818,,0.0,8.022,0.5,,,,,,,,,,,,,,,,,,72.058,236.476,,,,,,,,,,,,,,,,,,,,,,,,,290665100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.734,22.098,,,,,,,,,,,304716930.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1908,14.559,10.491,,0.0,16.235,1.093,,,,,,,,,,,,,,,,,,82.55,269.16,,,,,,,,,,,,,,,,,,,,,,,,,294816900000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.827,25.521,,,,,,,,,,,306692643.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1909,-7.052,-5.821,,0.0,32.244,2.524,,,,,,,,,,,,,,,,,,76.728,248.811,,,,,,,,,,,,,,,,,,,,,,,,,335358000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.351,33.565,,,,,,,,,,,308378771.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1910,1.493,1.145,,0.0,-8.09,-0.837,,,,,,,,,,,,,,,,,,77.873,251.388,,,,,,,,,,,,,,,,,,,,,,,,,335633100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.513,30.711,,,,,,,,,,,309772810.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1911,5.556,4.326,,0.0,5.134,0.488,,,,,,,,,,,,,,,,,,82.2,264.416,,,,,,,,,,,,,,,,,,,,,,,,,333713100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.002,32.173,,,,,,,,,,,310872238.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1912,15.65,12.864,,0.0,10.349,1.035,,,,,,,,,,,,,,,,,,95.064,305.01,,,,,,,,,,,,,,,,,,,,,,,,,333133200000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.037,35.412,,,,,,,,,,,311674516.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1913,10.213,9.709,,0.0,11.38,1.256,,,,,,,,,,,,,,,,,,104.773,335.619,,,,,,,,,,,,,,,,,,,,,,,,,325870100000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.293,39.378,,,,,,,,,,,312177087.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1914,1.579,1.654,,0.0,-6.623,-0.814,,,,,,,,,,,,,,,,,,106.427,340.369,,,,,,,,,,,,,,,,,,,,,,,,,343520000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.479,36.711,,,,,,,,,,,312680404.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1915,3.886,4.135,,0.0,10.841,1.244,,,,,,,,,,,,,,,,,,110.562,353.026,,,,,,,,,,,,,,,,,,,,,,,,,334924200000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.723,40.625,,,,,,,,,,,313184465.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1916,0.88,0.973,,0.0,3.473,0.442,,,,,,,,,,,,,,,,,,111.536,355.561,,,,,,,,,,,,,,,,,,,,,,,,,344694000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.165,41.969,,,,,,,,,,,313689273.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1917,5.556,6.197,,0.0,-4.859,-0.64,,,,,,,,,,,,,,,,,,117.732,374.712,,,,,,,,,,,,,,,,,,,,,,,,,338632800000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.526,39.865,,,,,,,,,,,314194829.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1918,13.78,16.224,,0.0,-0.929,-0.116,,,,,,,,,,,,,,,,,,133.956,425.856,,,,,,,,,,,,,,,,,,,,,,,,,295336800000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.409,39.45,,,,,,,,,,,314556958.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1919,9.195,12.317,,0.0,9.091,1.128,,,,,,,,,,,,,,,,,,146.273,463.689,,,,,,,,,,,,,,,,,,,,,,,,,335830000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.537,42.914,,,,,,,,,,,315455236.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1920,-20.621,-30.163,,0.0,0.515,0.07,,,,,,,,,,,,,,,,,,116.11,366.399,,,,,,,,,,,,,,,,,,,,,,,,,309267200000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.607,42.939,,,,,,,,,,,316895450.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1921,7.468,8.672,,0.0,8.376,1.14,,,,,,,,,,,,,,,,,,124.782,391.308,,,,,,,,,,,,,,,,,,,,,,,,,332498600000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.747,46.245,,,,,,,,,,,318883445.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1922,-1.514,-1.89,,0.0,-2.366,-0.349,,,,,,,,,,,,,,,,,,122.892,382.335,,,,,,,,,,,,,,,,,,,,,,,,,346716800000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.398,44.794,,,,,,,,,,,321425121.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1923,3.396,4.174,,0.0,-1.454,-0.209,,,,,,,,,,,,,,,,,,127.066,391.542,,,,,,,,,,,,,,,,,,,,,,,,,335552000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.189,43.721,,,,,,,,,,,324526435.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1924,7.736,9.83,,0.0,0.164,0.023,,,,,,,,,,,,,,,,,,136.895,417.8,,,,,,,,,,,,,,,,,,,,,,,,,351853700000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.212,43.374,,,,,,,,,,,327657673.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1925,-1.292,-1.769,,0.0,-1.718,-0.244,,,,,,,,,,,,,,,,,,135.127,408.461,,,,,,,,,,,,,,,,,,,,,,,,,356048700000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.968,42.221,,,,,,,,,,,330819124.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1926,0.457,0.617,,0.0,-8.41,-1.175,,,,,,,,,,,,,,,,,,135.744,406.405,,,,,,,,,,,,,,,,,,,,,,,,,367478400000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.793,38.301,,,,,,,,,,,334011077.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1927,5.156,6.998,,0.0,1.636,0.209,,,,,,,,,,,,,,,,,,142.742,423.274,,,,,,,,,,,,,,,,,,,,,,,,,367200000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.002,38.556,,,,,,,,,,,337233829.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1928,2.09,2.984,,0.0,-84.615,-11.002,,,,,,,,,,,,,,,,,,145.726,427.992,,,,,,,,,,,,,,,,,,,,,,,,,370912500000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.875,,,,,,,,,,,340487677.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1929,3.886,5.662,,0.0,20.349,0.407,,,,,,,,,,,,,,,,,,151.388,439.982,,,,,,,,,,,,,,,,,,,,,,,,,386396000000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.407,6.997,,,,,,,,,,,344079020.0,,,,,,,,,,,,,,,,,,,,,,
IND,India,1930,1.639,2.481,,0.0,3.382,0.081,,,,,,,,,,,,,,,,,,153.87,442.135,,,,,,,,,,,,,,,,,,,,,,,,,389214800000.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.489,7.151,,,,,,,,,,,348015421.0,,,,,,,,,,,,,,,,,,,,,,
