id,month,coal,gas,diesel,thermal_total,nuclear,hydro,res,grand_total
1,Jan-2019,197452.5,24937.21,637.63,223027.33999999997,6780,45399.22,74081.66,349288.20999999996
2,Feb-2019,197352.5,24937.21,637.63,222927.33999999997,6780,45399.22,75055.92000000001,350162.47
3,Mar-2019,200704.5,24937.21,637.63,226279.33999999997,6780,45399.22,77641.64,356100.19
4,Apr-2019,200704.5,24937.22,637.63,226279.34999999998,6780,45399.22,77641.64,356100.19
5,May-2019,200704.5,24937.22,637.63,226279.34999999998,6780,45399.22,78359.04999999999,356817.60000000003
6,Jun-2019,200749.5,24937.22,637.63,226324.34999999998,6780,45399.22,79792.38,358295.94
7,Jul-2019,202069.5,24937.22,637.63,227644.34999999998,6780,45399.22,80632.8,360456.36000000004
8,Aug-2019,202529.5,24937.22,509.71000000000004,227976.43,6780,45399.22,81339.39,361495.02
9,Sep-2019,203154.5,24937.22,509.71000000000004,228601.43,6780,45399.22,82588.96,363369.58999999997
10,Oct-2019,203954.5,24937.22,509.71000000000004,229401.43,6780,45399.22,83379.51000000001,364960.13999999996
11,Nov-2019,203954.5,24937.22,509.71000000000004,229401.43,6780,45399.22,84399.9,365980.54
12,Dec-2019,205254.5,24937.22,509.71000000000004,230701.43,6780,45399.22,84399.9,367280.54
13,Jan-2020,204724.5,24955.36,509.71000000000004,230189.58,6780,45399.22,86321.03,368689.82000000007
14,Feb-2020,204724.5,24955.36,509.71000000000004,230189.58,6780,45699.22,86759.19,369427.97
15,Mar-2020,205134.5,24955.36,509.71000000000004,230599.58,6780,45699.22,87027.68000000001,370106.46
16,Apr-2020,205134.5,24955.36,509.71000000000004,230599.58,6780,45699.22,87268.73999999999,370347.51999999996
17,May-2020,205134.5,24991.5,509.71000000000004,230635.72,6780,45699.22,87384.02,370498.96
18,Jun-2020,205404.5,24991.5,509.71000000000004,230905.72,6780,45699.22,87669.19,371054.13000000006
19,Jul-2020,205954.5,24991.5,509.71000000000004,231455.72,6780,45699.22,88041.90999999999,371976.84
20,Aug-2020,205954.5,24956.5,509.71000000000004,231420.72,6780,45699.22,88793.43000000001,372693.36
21,Sep-2020,205854.5,24956.5,509.71000000000004,231320.72,6780,45699.22,89229.42,373029.35
22,Oct-2020,205854.5,24956.5,509.71000000000004,231320.72,6780,45699.22,89635.65,373435.58
23,Nov-2020,205854.5,24956.5,509.71000000000004,231320.72,6780,45699.22,90399.11,374199.04000000004
24,Dec-2020,206124.5,24956.5,509.71000000000004,231590.72,6780,45798.22,91153.81,375322.74000000005
25,Jan-2021,206404.5,24956.5,509.71000000000004,231870.72,6780,46059.22,92550.74,377260.67
26,Feb-2021,207704.5,24956.51,509.71000000000004,233170.72,6780,46209.22,92970.48,379130.41
27,Mar-2021,209294.5,24924,509.71000000000004,234728.22,6780,46209.22,94433.79,382151.22
28,Apr-2021,209294.5,24924,509.71000000000004,234728.22,6780,46209.22,95012.59000000001,382730.03
29,May-2021,209294.5,24924,509.71000000000004,234728.22,6780,46209.22,95656.25,383373.69
30,Jun-2021,208624.5,24924,509.71000000000004,234058.22,6780,46322.22,96955.51,384115.94
31,Jul-2021,209424.5,24924,509.71000000000004,234858.22,6780,46367.22,98882.72,386888.16000000003
32,Aug-2021,208824.5,24924,509.71000000000004,234258.22,6780,46412.22,100683.31999999999,388133.76
33,Sep-2021,208614.5,24899.5,509.71000000000004,234023.72,6780,46512.22,101532.85,388848.77999999997
34,Oct-2021,209034.5,24899.5,509.71000000000004,234443.72,6780,46512.22,103055.25,390791.19
35,Nov-2021,209284.5,24899.5,509.71000000000004,234693.72,6780,46512.22,104031.31000000001,392017.24999999994
36,Dec-2021,209809.5,24899.5,509.71000000000004,235218.72,6780,46512.22,104878.53,393389.46
37,Jan-2022,210519.5,24899.5,509.71000000000004,235928.72,6780,46512.22,105854.13,395075.07
