ID,Month,Region,Coal,Gas,Diesel,Thermal_total,Nuclear,Hydro,RES,Total
1,Jan-2019,Northern,41604.00,5781.26,0.00,47385.26,1620.00,19023.27,13994.37,82022.90
2,Jan-2019,Eastern,32025.00,100.00,40.05,32165.05,0.00,5862.45,1371.79,39399.28
3,Jan-2019,Western,82011.00,10806.49,0.00,92817.49,1840.00,7392.00,22033.01,124082.50
4,Jan-2019,Southern,41312.50,6473.66,561.58,48347.74,3320.00,11694.50,36390.62,99752.86
5,Jan-2019,North Eastern,500.00,1775.80,36.00,2311.80,0.00,1427.00,291.87,4030.67
10,Feb-2019,North Eastern,500.00,1775.80,36.00,2311.80,0.00,1427.00,294.82,4033.62
9,Feb-2019,Southern,41212.50,6473.66,561.58,48247.74,3320.00,11694.50,37023.32,100285.56
8,Feb-2019,Western,82011.00,10806.49,0.00,92817.49,1840.00,7392.00,22312.56,124362.05
7,Feb-2019,Eastern,32025.00,100.00,40.05,32165.05,0.00,5862.45,1399.90,39427.39
6,Feb-2019,Northern,41604.00,5781.26,0.00,47385.26,1620.00,19023.27,14025.32,82053.85
15,Mar-2019,North Eastern,750.00,1775.80,36.00,2561.80,0.00,1427.00,324.29,4313.09
14,Mar-2019,Southern,40912.50,6473.66,561.58,47947.74,3320.00,11694.50,38620.93,101583.17
13,Mar-2019,Western,84491.00,10806.49,0.00,95297.49,1840.00,7392.00,23078.94,127608.43
12,Mar-2019,Eastern,32287.00,100.00,40.05,32427.05,0.00,5862.45,1418.46,39707.95
11,Mar-2019,Northern,42264.00,5781.26,0.00,48045.26,1620.00,19023.27,14199.02,82887.55
16,Apr-2019,Northern,42264.00,5781.26,0.00,48045.26,1620.00,19023.27,14199.02,82887.55
17,Apr-2019,Eastern,32287.00,100.00,40.05,32427.05,0.00,5862.45,1418.46,39707.95
18,Apr-2019,Western,84491.00,10806.49,0.00,95297.49,1840.00,7392.00,23078.94,127608.43
19,Apr-2019,Southern,40912.50,6473.66,561.58,47947.74,3320.00,11694.50,38620.93,101583.17
20,Apr-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,324.29,4313.09
25,May-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,324.29,4313.09
24,May-2019,Southern,40912.50,6473.66,561.58,47947.74,3320.00,11694.50,38941.09,101903.33
23,May-2019,Western,84491.00,10806.49,0.00,95297.49,1840.00,7392.00,23262.26,127791.75
22,May-2019,Eastern,32287.00,100.00,40.05,32427.05,0.00,5862.45,1419.98,39709.47
21,May-2019,Northern,42264.00,5781.26,0.00,48045.26,1620.00,19023.27,14411.43,83099.96
26,Jun-2019,Northern,42264.00,5781.26,0.00,48045.26,1620.00,19023.27,14651.84,83340.37
27,Jun-2019,Eastern,32287.00,100.00,40.05,32427.05,0.00,5862.45,1440.39,39729.88
28,Jun-2019,Western,84536.00,10806.49,0.00,95342.49,1840.00,7392.00,23919.93,128494.42
29,Jun-2019,Southern,40912.50,6473.66,561.58,47947.74,3320.00,11694.50,39444.32,102406.56
30,Jun-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,335.90,4324.71
35,Jul-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,348.63,4337.44
34,Jul-2019,Southern,40912.50,6473.66,561.58,47947.74,3320.00,11694.50,39623.86,102586.10
33,Jul-2019,Western,84536.00,10806.49,0.00,95342.49,1840.00,7392.00,24353.84,128928.33
32,Jul-2019,Eastern,33607.00,100.00,40.05,33747.05,0.00,5862.45,1447.80,41057.29
31,Jul-2019,Northern,42264.00,5781.26,0.00,48045.26,1620.00,19023.27,14858.67,83547.20
40,Aug-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,348.96,4337.76
39,Aug-2019,Southern,40912.50,6473.66,433.66,47819.82,3320.00,11694.50,40017.92,102852.24
38,Aug-2019,Western,84336.00,10806.49,0.00,95142.49,1840.00,7392.00,24444.39,128818.88
37,Aug-2019,Eastern,34267.00,100.00,40.05,34407.05,0.00,5862.45,1448.59,41718.08
36,Aug-2019,Northern,42264.00,5781.26,0.00,48045.26,1620.00,19023.27,15079.53,83768.06
41,Sep-2019,Northern,42789.00,5781.26,0.00,48570.26,1620.00,19023.27,15829.74,85043.27
42,Sep-2019,Eastern,34267.00,100.00,40.05,34407.05,0.00,5862.45,1494.16,41763.65
43,Sep-2019,Western,84436.00,10806.49,0.00,95242.49,1840.00,7392.00,24648.49,129122.98
44,Sep-2019,Southern,40912.50,6473.66,433.66,47819.82,3320.00,11694.50,40253.52,103087.84
45,Sep-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,363.05,4351.85
50,Oct-2019,North Eastern,750.00,1775.81,36.00,2561.81,0.00,1427.00,363.24,4352.04
49,Oct-2019,Southern,40912.50,6473.66,433.66,47819.82,3320.00,11694.50,40316.00,103150.32
48,Oct-2019,Western,85236.00,10806.49,0.00,96042.49,1840.00,7392.00,24811.51,130086.00
47,Oct-2019,Eastern,34267.00,100.00,40.05,34407.05,0.00,5862.45,1505.66,41775.15
46,Oct-2019,Northern,42789.00,5781.26,0.00,48570.26,1620.00,19023.27,16383.10,85596.63
51,Nov-2019,Northern,42789.00,5781.26,0.00,48570.26,1620.00,19023.27,16392.62,85606.15
52,Nov-2019,Eastern,34267.00,100.00,40.05,34407.05,0.00,5862.45,1506.12,41775.61
