id,month,region,state,coal,gas,diesel,thermal_total,nuclear,hydro,res,grand_total
1,Jan-2019,Northern,Chandigarh,0.00,0.00,0.00,0.00,0.00,0.00,32.40,32.40
2,Jan-2019,Northern,Delhi,135.00,2208.40,0.00,2343.40,0.00,0.00,176.21,2519.61
3,Jan-2019,Northern,Haryana,5540.00,431.59,0.00,5971.59,0.00,0.00,411.99,6383.58
4,Jan-2019,Northern,Himachal Pradesh,0.00,0.00,0.00,0.00,0.00,9809.02,864.50,10673.52
5,Jan-2019,Northern,Jammu and Kashmir,0.00,175.00,0.00,175.00,0.00,3449.00,188.88,3812.88
6,Jan-2019,Northern,Punjab,5680.00,0.00,0.00,5680.00,0.00,1096.30,1282.42,8058.72
7,Jan-2019,Northern,Rajasthan,8500.00,1023.13,0.00,9523.13,1180.00,411.00,7573.86,18687.99
8,Jan-2019,Northern,Uttar Pradesh,21749.00,1493.14,0.00,23242.14,440.00,501.60,2873.61,27057.35
9,Jan-2019,Northern,Uttarakhand,0.00,450.00,0.00,450.00,0.00,3756.35,590.50,4796.85
10,Jan-2019,Eastern,Andaman & Nicobar Islands,0.00,0.00,40.05,40.05,0.00,0.00,11.81,51.86
11,Jan-2019,Eastern,Bihar,5480.00,0.00,0.00,5480.00,0.00,0.00,326.15,5806.15
12,Jan-2019,Eastern,Jharkhand,4590.00,0.00,0.00,4590.00,0.00,210.00,36.46,4836.46
13,Jan-2019,Eastern,Odisha,7680.00,0.00,0.00,7680.00,0.00,2142.25,504.43,10326.68
14,Jan-2019,Eastern,Sikkim,0.00,0.00,0.00,0.00,0.00,2169.00,52.12,2221.12
15,Jan-2019,Eastern,West Bengal,14275.00,100.00,0.00,14375.00,0.00,1341.20,440.82,16157.02
16,Jan-2019,Western,Chhatisgarh,22968.00,0.00,0.00,22968.00,0.00,120.00,535.35,23623.35
17,Jan-2019,Western,Dadra & Nagar Haveli,0.00,0.00,0.00,0.00,0.00,0.00,5.46,5.46
18,Jan-2019,Western,Daman & Diu,0.00,0.00,0.00,0.00,0.00,0.00,13.38,13.38
19,Jan-2019,Western,Goa,0.00,48.00,0.00,48.00,0.00,0.00,1.74,49.74
