ID,Month,State,energy_requirement,energy_availability
44,Jan-2020, Chandigarh,137.98,137.98
56,Jan-2020, Madhya Pradesh,7423.429520468,7423.429520468
57,Jan-2020, Maharashtra,13178.148249,13178.148249
58,Jan-2020, Daman & Diu,219.054645,219.054645
59,Jan-2020, Dadra & Nagar Haveli,567.5795220000001,567.5795220000001
60,Jan-2020, Goa,413.7989671673699,413.7986939999999
61,Jan-2020, Western Region,33614.81771058153,33614.39228043176
62,Jan-2020, Andhra Pradesh,5363.969431133402,5363.846723991
63,Jan-2020, Telangana,6346.876478900603,6346.742839031
55,Jan-2020, Gujarat,9440.014150077439,9440.014150077439
53,Jan-2020, Northern Region,29996.65,29653.67
45,Jan-2020, Delhi,2290.02,2290.02
46,Jan-2020, Haryana,3862.87,3862.87
47,Jan-2020, Himachal Pradesh,931.24,930.64
48,Jan-2020," 
UTs of J&K and Ladakh",1934,1699.59
49,Jan-2020, Punjab,3396.62,3396.62
50,Jan-2020, Rajasthan,7369.300000000001,7366.630000000001
51,Jan-2020, Uttar Pradesh,8830.629999999999,8725.869999999999
52,Jan-2020, Uttarakhand,1243.99,1243.45
64,Jan-2020, Karnataka,7013.662132961919,7013.517095245116
65,Jan-2020, Kerala,2242.367778880001,2239.295119748
66,Jan-2020, Tamil Nadu,8708.533922005005,8708.320210381
78,Jan-2020, Arunachal Pradesh,69.25549198415806,68.96618183870966
79,Jan-2020, Assam,684.0608751865861,669.1616236736882
80,Jan-2020, Manipur,95.36727267218001,94.95575940000001
81,Jan-2020, Meghalaya,212.9498548567071,198.109287643
82,Jan-2020, Mizoram,60.74635145455999,60.44448479999999
83,Jan-2020, Nagaland,71.58861825168776,71.1999782451613
84,Jan-2020, Tripura *,104.01695915152,104.0081616
85,Jan-2020, North-Eastern Region,1297.985423557399,1266.845477200559
77,Jan-2020, Eastern Region,10751.697256717,10739.785406717
75,Jan-2020, Sikkim,56.52829045999996,56.52829045999996
67,Jan-2020, Puducherry,211.6043010421201,211.598856531
68,Jan-2020, Lakshadweep  #,3.85,3.85
69,Jan-2020, Southern Region,29887.01404492305,29883.32084492712
70,Jan-2020, Bihar,2450.282791506999,2447.672791506999
71,Jan-2020, DVC,1933.293823883,1933.293823883
72,Jan-2020, Jharkhand,783.9449355490003,777.7239355490003
73,Jan-2020, Odisha,2042.316516456,2042.316516456
74,Jan-2020, West Bengal,3485.330898861999,3482.250048861999
86,Jan-2020, All India,105548.164435779,105158.0140092764
76,Jan-2020, Andaman- Nicobar #,28.84,26.92
54,Jan-2020, Chhattisgarh,2372.792656868716,2372.367499886316
12,Feb-2020, Gujarat,9519.320303351256,9519.320303351256
13,Feb-2020, Madhya Pradesh,7417.183871646001,7417.183871646001
14,Feb-2020, Maharashtra,13350.872884,13350.872884
15,Feb-2020, Daman & Diu,217.5459396,217.5459396
16,Feb-2020, Dadra & Nagar Haveli,534.450975,534.450975
17,Feb-2020, Goa,353.2923539999999,353.2923539999999
18,Feb-2020, Western Region,33652.38460498357,33652.38460498357
19,Feb-2020, Andhra Pradesh,5698.672263110201,5698.340232019001
20,Feb-2020, Telangana,6645.831001149801,6645.5
1,Feb-2020, Chandigarh,109.18,109.18
11,Feb-2020, Chhattisgarh,2259.718277386316,2259.718277386316
2,Feb-2020, Delhi,1904.8,1904.53
3,Feb-2020, Haryana,3689.43,3689.43
4,Feb-2020, Himachal Pradesh,835.6499999999999,820.8299999999999
5,Feb-2020," 
UTs of J&K and Ladakh",1816,1434
6,Feb-2020, Punjab,3489.04,3489.04
7,Feb-2020, Rajasthan,7136.52,7129.82
8,Feb-2020, Uttar Pradesh,8152.235000000001,8046.070000000001
9,Feb-2020, Uttarakhand,1091.09,1091.09
10,Feb-2020, Northern Region,28223.945,27713.99
21,Feb-2020, Karnataka,7024.22043195068,7023.82797695228
22,Feb-2020, Kerala,2193.133387353001,2191.200897937
33,Feb-2020, Andaman- Nicobar #,28.84,26.92
35,Feb-2020, Arunachal Pradesh,61.93128840423291,61.67979234193548
36,Feb-2020, Assam,660.9930726116702,648.0574898586277
37,Feb-2020, Manipur,84.34375412646,83.85891179999999
38,Feb-2020, Meghalaya,188.486403408189,181.930982703
39,Feb-2020, Mizoram,57.29925389236001,57.01635880000001
40,Feb-2020, Nagaland,63.6344697181129,63.14341274193549
41,Feb-2020, Tripura *,97.76972400000002,97.76972400000002
43,Feb-2020, All India,104169.7781087809,103609.5430881124
32,Feb-2020, Sikkim,51.99259203099999,51.99259203099999
34,Feb-2020, Eastern Region,10408.243247664,10382.545508285
23,Feb-2020, Tamil Nadu,8890.711820693001,8890.133542181
24,Feb-2020, Puducherry,218.17838571556,218.163653509
25,Feb-2020, Lakshadweep  #,3.85,3.85
26,Feb-2020, Southern Region,30670.74728997225,30667.16630259828
27,Feb-2020, Bihar,2153.393499459999,2145.969499459999
28,Feb-2020, DVC,1883.735477534,1883.735477534
29,Feb-2020, Jharkhand,718.992222997,702.839222997
30,Feb-2020, Odisha,2084.508716263,2084.508716263
31,Feb-2020, West Bengal,3515.620739378999,3513.5
42,Feb-2020, North-Eastern Region,1214.457966161025,1193.456672245499
