ID,Month,State,peak_demand,peak_met
44,Jan-2020, Chandigarh,265,265
56,Jan-2020, Madhya Pradesh,14729,14729
57,Jan-2020, Maharashtra,22975,22975
58,Jan-2020, Daman & Diu,347,347
59,Jan-2020, Dadra & Nagar Haveli,816,816
60,Jan-2020, Goa,602.8531652083333,602.2208333333333
61,Jan-2020, Western Region,58643,58643
62,Jan-2020, Andhra Pradesh,9607.7067752,9605
63,Jan-2020, Telangana,11378.05241605,11359
55,Jan-2020, Gujarat,16189,16189
53,Jan-2020, Northern Region,51338,50780
45,Jan-2020, Delhi,5226,5226
46,Jan-2020, Haryana,7016,7016
47,Jan-2020, Himachal Pradesh,1786,1786
48,Jan-2020," 
UTs of J&K and Ladakh",3218,2574
49,Jan-2020, Punjab,6327,6327
50,Jan-2020, Rajasthan,14017,14017
51,Jan-2020, Uttar Pradesh,16987,16987
52,Jan-2020, Uttarakhand,2208,2208
64,Jan-2020, Karnataka,13169,13169
65,Jan-2020, Kerala,3873.403323666667,3784.5219
66,Jan-2020, Tamil Nadu,14370.521197,14336.1248
78,Jan-2020, Arunachal Pradesh,124.683,117.24
79,Jan-2020, Assam,1581.858,1366.46
80,Jan-2020, Manipur,220.317,218.21
81,Jan-2020, Meghalaya,371.49,371.49
82,Jan-2020, Mizoram,126.92,126.92
83,Jan-2020, Nagaland,181.31,158.5
84,Jan-2020, Tripura *,229,229
85,Jan-2020, North-Eastern Region,2619.557,2587.82
77,Jan-2020, Eastern Region,18748.84525775863,18704.65550911834
75,Jan-2020, Sikkim,114.6802776805625,114.630127
67,Jan-2020, Puducherry,378.250819875,378.084015
68,Jan-2020, Lakshadweep  #,8,8
69,Jan-2020, Southern Region,49174.97999993667,49165
70,Jan-2020, Bihar,4571.38236,4571.38236
71,Jan-2020, DVC,2979.424263893232,2979.424263893232
72,Jan-2020, Jharkhand,1372.693575542031,1372.693575542031
73,Jan-2020, Odisha,3614.93443893576,3603.897502833333
74,Jan-2020, West Bengal,6331.05036334825,6316.128509743981
86,Jan-2020, All India,171592.1733519581,170976.0852050781
76,Jan-2020, Andaman- Nicobar #,58,54
54,Jan-2020, Chhattisgarh,3828.6782,3826
12,Feb-2020, Gujarat,16538,16538
13,Feb-2020, Madhya Pradesh,14886.1955,14855
14,Feb-2020, Maharashtra,24550,24550
15,Feb-2020, Daman & Diu,345.60375,345
16,Feb-2020, Dadra & Nagar Haveli,815,815
17,Feb-2020, Goa,609,609
18,Feb-2020, Western Region,59416,59416
19,Feb-2020, Andhra Pradesh,9966.28073933333,9954
20,Feb-2020, Telangana,13168,13168
1,Feb-2020, Chandigarh,297,297
11,Feb-2020, Chhattisgarh,4033.0455,4026
2,Feb-2020, Delhi,4447,4447
3,Feb-2020, Haryana,7520,7520
4,Feb-2020, Himachal Pradesh,1742,1742
5,Feb-2020," 
UTs of J&K and Ladakh",3158,2526
6,Feb-2020, Punjab,7078,7078
7,Feb-2020, Rajasthan,14277,14277
8,Feb-2020, Uttar Pradesh,16777,16627
9,Feb-2020, Uttarakhand,2233,2233
10,Feb-2020, Northern Region,51107,50519
21,Feb-2020, Karnataka,13031.45318073333,13001
22,Feb-2020, Kerala,4042.564042583334,3953.5228
33,Feb-2020, Andaman- Nicobar #,58,54
35,Feb-2020, Arunachal Pradesh,157.987,130.42
36,Feb-2020, Assam,1603.186,1370.14
37,Feb-2020, Manipur,226.245,216.44
38,Feb-2020, Meghalaya,369.899,369.899
39,Feb-2020, Mizoram,132.679,132.48
40,Feb-2020, Nagaland,164.37,150
41,Feb-2020, Tripura *,222.3,222.3
43,Feb-2020, All India,179098.2594765625,176387.5634765625
32,Feb-2020, Sikkim,114.390186,114.390186
34,Feb-2020, Eastern Region,18898.2793893853,18891.66730582826
23,Feb-2020, Tamil Nadu,14767.7690755,14754.5867
24,Feb-2020, Puducherry,401.637441565,401.412811
25,Feb-2020, Lakshadweep  #,8,8
26,Feb-2020, Southern Region,53004.27499993168,52993
27,Feb-2020, Bihar,4280.163103,4280.163103
28,Feb-2020, DVC,2905.099586342956,2905.099586342956
29,Feb-2020, Jharkhand,1331.026353348837,1331.026353348837
30,Feb-2020, Odisha,4018.1549508486,4017.451896766667
31,Feb-2020, West Bengal,6484.107102103962,6482.405470667912
42,Feb-2020, North-Eastern Region,2655.837,2591.679
