id,month,voltage_ratio,station_name,capacity,executing_agency,sector
27,Jan-2020,765/400,Chilakaluripeta S/S (PSITL - TBCB),3000,PGCIL,Central Sector
28,Jan-2020,400/220,Repl. of 1x315 MVA ICT with 1x500 MVA ICT at Pusauli s/s (ICT-II),185,PGCIL,Central Sector
29,Jan-2020,220/132,Dhanbad (Auto-Xmer) T/F-I,160,DVC,Central Sector
30,Jan-2020,400/220,Ramadugu s/s,1000,TSTRANSCO,State Sector
31,Jan-2020,230/110,Nimmeli Thippiakudi (Addl T/F),100,TANTRANSCO,State Sector
32,Jan-2020,230/110,Thiruchuli (Addl T/F),50,TANTRANSCO,State Sector
33,Jan-2020,220/132,Up-gradation of existing 132 kV Pandharkawda substation to 220 kV level,100,MSETCL,State Sector
34,Jan-2020,220/132,Jaypatna T/F-II,160,OPTCL,State Sector
35,Jan-2020,220/132,Banda (Aug) T/F-II (200-160),40,UPPTCL,State Sector
36,Jan-2020,220/132,Deoria (Aug) T/F-II (160-100),60,UPPTCL,State Sector
37,Jan-2020,220/132,Gonda (Aug) T/F-I (200-160),40,UPPTCL,State Sector
38,Jan-2020,220/132,Hathras (Aug) T/F-II (200-160),40,UPPTCL,State Sector
39,Jan-2020,220/132,Jhunsi Prayagraj (Aug) T/F-II (200-160),40,UPPTCL,State Sector
40,Jan-2020,220/132,Kursi Road (Aug) (Additional T/F),160,UPPTCL,State Sector
41,Jan-2020,220/132,Muradnagar-II (Aug) T/F-II,100,UPPTCL,State Sector
42,Jan-2020,220/132,Pratap Vihar Ghaziabad (New) T/F-I,160,UPPTCL,State Sector
43,Jan-2020,220/132,Rewa Road Prayagraj (Aug) T/F-II (200-160),40,UPPTCL,State Sector
44,Jan-2020,220/132,Unnao (Aug) T/F-II (160-100),60,UPPTCL,State Sector
45,Jan-2020,220/132/33,Karanja (1x25 MVA 220/33 kV T/F),25,MSETCL,State Sector
46,Jan-2020,220/132/33,Narangwadi (100 MVA ICT-II and 25 MVA 220/33 kV T/F-III),150,MSETCL,State Sector
47,Jan-2020,220/22,Chardava (Aug) (1x160 2x100) - (2x100),160,GETCO,State Sector
48,Jan-2020,220/33,Uppalwadi (220/33 kV 50 MVA T/F),50,MSETCL,State Sector
49,Jan-2020,220/66,Jamla (Aug) (1x160 2x100 1x50) - (2x100 1x50),160,GETCO,State Sector
