id,month,voltage_level,transmission_line,circuit_type,executing_agency,line_length,sector
33,Dec-2019,400,Edaomon (KSEB) - Muvattupuzha (PG) (Quad) line (2nd Ckt.),D/C,PGCIL,148,Central Sector
34,Dec-2019,400,Madhugiri - Yelhanka line (Quad) line (1st Ckt.),D/C,PGCIL,66,Central Sector
35,Dec-2019,220,Re-conductoring of New Purnea - Purnea line,D/C,PGCIL,2,Central Sector
36,Dec-2019,400,LILO of Raita - Jagdalpur at Kurud,D/C,CSPTCL,2,State Sector
37,Dec-2019,230,TPS-II - Neyveli 230kV S/S,D/C,TANTRANSCO,10,State Sector
38,Dec-2019,220,2nd Ckt. of 220 kV Tilwani - Miraj line (From loc no 4 to 43),S/C on D/C,MSETCL,13,State Sector
39,Dec-2019,220,DCDS Barsoor - Jagdalpur line,D/C,CSPTCL,177,State Sector
40,Dec-2019,220,Hatia (JUSNL) - Namkum (PGCIL),D/C,JUSNL,65,State Sector
41,Dec-2019,220,Kavanoor - Karaikudi (Existing),D/C,TANTRANSCO,176,State Sector
42,Dec-2019,220,LILO of 220 kV KTS- Lower Sileru-I line at 220/11kV VK Ramavaram LI SS,D/C,TSTRANSCO,3,State Sector
43,Dec-2019,220,LILO of both ckt. Fatehabad - Rania line at 220kV Mehna Khera,D/C,HVPNL,92,State Sector
21,Jan-2020,765,Chilkaluripeta - Cudappah (PSITL - TBCB),D/C,PGCIL,577,Central Sector
22,Jan-2020,765,Vemagiri - Chilkaluripeta (PSITL -TBCB),D/C,PGCIL,558,Central Sector
23,Jan-2020,400,Nirmal - Dichpally at Jangaon (QM) line,D/C,TSTRANSCO,120,State Sector
24,Jan-2020,220,Balimela - Malkangiri 2nd Ckt.,S/C,OPTCL,21,State Sector
25,Jan-2020,220,LILO of existing KTS - Shapurnagar at Waddekothapally (Jangaon District),S/C,TSTRANSCO,17,State Sector
26,Jan-2020,220,LILO of existing KTS-Shapurnagar proposed line at Jangaon,S/C,TSTRANSCO,45,State Sector
27,Jan-2020,220,LILO of existing Waddekothapally - Bhongir (Both Ckts.) to proposed at Jangaon (Jangaon District),M/C,TSTRANSCO,104,State Sector
