Country or territory,2016_New,2016_Total,2017_New,2017_Total,2018_New,2018_Total,2019_New,2019_Total,2020_New,2020_Total,W per capita 2019,Share of total consumption %
China,34540,78070,53000,131000,45000,175018,30100,204700,49655,254355,147,6.2
European Union,,101433,,107150,8300,115234,16000,134129,18788,152917,295,6.0
United States,14730,40300,10600,51000,10600,53184,13300,60682,14890,75572,231,3.4
Japan,8600,42750,7000,49000,6500,55500,7000,63000,4000,67000,498,8.3
Germany,1520,41220,1800,42000,3000,45930,3900,49200,4583,53783,593,9.7
India,3970,9010,9100,18300,10800,26869,9900,35089,4122,39211,32,6.5
Italy,373,19279,409,19700,,20120,600,20800,800,21600,345,8.3
Australia,839,5900,1250,7200,3800,11300,3700,15928,1699,17627,637,10.7
Vietnam,,6,,9,,106,4800,5695,10909,16504,60,
South Korea,850,4350,1200,5600,2000,7862,3100,11200,3375,14575,217,3.8
Spain,,4669,,4688,,4707,,8711,5378,14089,186,9.0
United Kingdom,1970,11630,900,12700,,13108,233,13346,177,13563,200,4.0
France,559,7130,875,8000,,9483,900,9900,1833,11733,148,2.8
Netherlands,525,2100,853,2900,1300,4150,,6725,3488,10213,396,8.9
Brazil,,,900,1100,,2413,2138,4595,3145,7881,22,1.7
Turkey,584,832,2600,3400,1600,5063,,5995,673,6668,73,5.9
South Africa,536,1450,13,1800,,2559,,2561,3429,5990,44,2.0
Taiwan,,,,,,2618,,4100,1717,5817,172,
Belgium,170,3422,284,3800,,4026,,4531,1115,5646,394,6.6
Mexico,150,320,150,539,2700,3200,,4426,1218,5644,35,3.2
Ukraine,99,531,211,742,1200,2003,,3560,1800,5360,114,5.0
Poland,,,,,,487,,1300,2636,3936,34,
Canada,200,2715,212,2900,,3113,,3310,15,3325,88,0.7
Greece,,,,,,2652,,2763,484,3247,258,9.3
Chile,746,1610,668,1800,,2137,,2648,557,3205,142,9.1
Switzerland,250,1640,260,1900,346,2246,,2524,594,3118,295,4.7
Thailand,726,2150,251,2700,,2720,,2982,,2988,43,2.9
United Arab Emirates,,42,,255,,494,,1783,,2539,185,
Israel,130,910,60,1100,,1070,,1190,,2249,134,4.7
Austria,154,1077,153,1250,,1431,,1578,,2220,178,3.4
Czech Republic,48,2131,63,2193,,2078,,2070,,2073,194,3.5
Hungary,,,,,,665,,1277,,1953,131,
Egypt,,48,,169,,750,,1647,,1694,17,
Malaysia,54,286,50,386,,438,,882,,1493,28,2.4
Russia,15,77,159,236,310,546,,1064,,1428,7,
Sweden,60,175,93,303,,421,,644,,1417,63,0.7
Romania,,1372,,1374,,1377,,1386,,1387,71,3.4
Jordan,,298,,471,,829,,998,,1359,100,
Denmark,70,900,60,910,,998,,1079,,1300,186,4.1
Bulgaria,,1028,,1036,0,1036,,1065,,1073,152,4.7
Philippines,756,900,,,,886,,922,,1048,9,
Portugal,58,513,57,577,,670,,828,,1025,81,3.4
Argentina,,9,,9,,191,,442,,764,,
Pakistan,,589,,655,,679,,713,,737,6,
Morocco,,202,,204,,734,,734,,734,6,1.3
Slovakia,,533,,528,,472,,472,,593,87,2.4
Honduras,,414,,451,,485,,511,,514,53,12.9
Algeria,,219,,400,,423,,423,,448,10,
El Salvador,,28,,126,,206,,391,,429,,
Iran,34,43,141,184,102,286,81,367,85,414,5,0.4
Saudi Arabia,,24,,34,,84,,409,,409,,
Finland,17,37,23,80,53.1,134,,215,,391,39,0.3
Dominican Republic,,73,,106,,205,,305,,370,,
Peru,,146,,298,,325,,331,,331,,
Singapore,,97,,118,,160,,255,,329,45,0.8
Bangladesh,,161,,185,,201,,284,,301,2,
Slovenia,,232,,247,,247,,264,,267,,
Uruguay,,89,,243,,248,,254,,256,,
Yemen,,80,,100,,250,,250,,253,,
Iraq,,37,,37,,216,,216,,216,,
Cambodia,,18,,29,,29,,99,,208,,
Cyprus,14,84,21,105,,113,,129,,200,147,3.3
Panama,,93,,147,,193,,198,,198,,
Luxembourg,,122,,127,,134,,150,,195,244,
Malta,20,93,19,112,,127,,154,,184,312,6.5
Indonesia,,88,,98,,98,,155,,172,,
Cuba,,37,,65,,128,,159,,163,,
Belarus,,51,,153,,157,,157,,159,,
Senegal,,43,,113,,134,,134,,155,8,
Norway,11,27,18,45,23,68,,90,,152,17,0.1
Lithuania,1,70,4,74,10,84,,103,,148,37,
Namibia,,36,,70,,88,,135,,145,55,
New Zealand,,53,,70,,90,,117,,142,,
Estonia,,10,,15,,32,,121,,130,,
Bolivia,,6,,8,,70,,120,,120,,
Oman,,2,,8,,8,,9,,109,,
Colombia,,2,,11,,86,,90,,107,,
Kenya,,32,,39,,105,,106,,106,,
Guatemala,,93,,99,,101,,101,,101,,
Croatia,8,56,4,60,1,61,,69,,85,17,
